NAME,LINE,lat,lon,the_geom,NOTES,the_geom,function1,function2,function3,function 4,function5
Astor Pl,4-6-6 Express,40.730054,-73.99107,"[40.73005400028978,-73.9910699986196],","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",POINT (-73.99106999861966 40.73005400028978),-73.99106999861966 40.73005400028978),-73.99106999861966 40.73005400028978,40.730054,-73.99107,"[40.73005400028978,-73.9910699986196],"
Canal St,4-6-6 Express,40.718803,-74.000193,"[40.71880300107709,-74.0001929992732],","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",POINT (-74.00019299927328 40.71880300107709),-74.00019299927328 40.71880300107709),-74.00019299927328 40.71880300107709,40.718803,-74.000193,"[40.71880300107709,-74.0001929992732],"
50th St,2-Jan,40.761728,-73.983849,"[40.76172799961419,-73.9838489998662],","1-all times, 2-nights",POINT (-73.98384899986625 40.76172799961419),-73.98384899986625 40.76172799961419),-73.98384899986625 40.76172799961419,40.761728,-73.983849,"[40.76172799961419,-73.9838489998662],"
Bergen St,2/3/04,40.68086214,-73.97499915,"[40.68086213682956,-73.9749991511680],","4-nights, 3-all other times, 2-all times",POINT (-73.97499915116808 40.68086213682956),-73.97499915116808 40.68086213682956),-73.97499915116808 40.68086213682956,40.68086214,-73.97499915,"[40.68086213682956,-73.9749991511680],"
Pennsylvania Ave,4-Mar,40.66471445,-73.89488591,"[40.66471445143568,-73.8948859115406],","4-nights, 3-all other times",POINT (-73.89488591154061 40.66471445143568),-73.89488591154061 40.66471445143568),-73.89488591154061 40.66471445143568,40.66471445,-73.89488591,"[40.66471445143568,-73.8948859115406],"
238th St,1,40.884667,-73.90087,"[40.88466700064975,-73.9008700001852],","1-all times, exit only northbound",POINT (-73.90087000018522 40.88466700064975),-73.90087000018522 40.88466700064975),-73.90087000018522 40.88466700064975,40.884667,-73.90087,"[40.88466700064975,-73.9008700001852],"
Cathedral Pkwy (110th St),A-B-C,40.80058156,-73.95806671,"[40.800581558114956,-73.9580667066136],","A-nights, B-weekdays and evenings, C-all times exc nights",POINT (-73.95806670661364 40.800581558114956),-73.95806670661364 40.800581558114956),-73.95806670661364 40.800581558114956,40.80058156,-73.95806671,"[40.800581558114956,-73.9580667066136],"
Kingston - Throop Aves,A-C,40.679919,-73.940859,"[40.67991899941601,-73.9408589987126],","A-nights, C-all other times",POINT (-73.94085899871263 40.67991899941601),-73.94085899871263 40.67991899941601),-73.94085899871263 40.67991899941601,40.679919,-73.940859,"[40.67991899941601,-73.9408589987126],"
65th St,E-M-R,40.74971953,-73.89878838,"[40.74971952935675,-73.8987883783301],","E-nights, R-all other times, M-weekdays and evenings",POINT (-73.8987883783301 40.74971952935675),-73.8987883783301 40.74971952935675),-73.8987883783301 40.74971952935675,40.74971953,-73.89878838,"[40.74971952935675,-73.8987883783301],"
36th St,E-M-R,40.75196004,-73.92901818,"[40.75196004401078,-73.9290181846153],","E-nights, R-all other times, M-weekdays and evenings",POINT (-73.92901818461539 40.75196004401078),-73.92901818461539 40.75196004401078),-73.92901818461539 40.75196004401078,40.75196004,-73.92901818,"[40.75196004401078,-73.9290181846153],"
Delancey St - Essex St,J-M-Z,40.71830606,-73.9874094,"[40.71830605618619,-73.9874094020297],","J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",POINT (-73.98740940202974 40.71830605618619),-73.98740940202974 40.71830605618619),-73.98740940202974 40.71830605618619,40.71830606,-73.9874094,"[40.71830605618619,-73.9874094020297],"
Van Siclen Ave,J-Z,40.67802821,-73.89165773,"[40.67802821447783,-73.8916577270244],","Z-rush hours AM westbound, PM eastbound, J-all other times",POINT (-73.89165772702445 40.67802821447783),-73.89165772702445 40.67802821447783),-73.89165772702445 40.67802821447783,40.67802821,-73.89165773,"[40.67802821447783,-73.8916577270244],"
Norwood Ave,J-Z,40.68152,-73.879626,"[40.68152000045683,-73.8796259991078],","Z-rush hours AM westbound, PM eastbound, J-all other times",POINT (-73.87962599910783 40.68152000045683),-73.87962599910783 40.68152000045683),-73.87962599910783 40.68152000045683,40.68152,-73.879626,"[40.68152000045683,-73.8796259991078],"
104th-102nd Sts,J-Z,40.695166,-73.844435,"[40.69516599823373,-73.8444350002968],","Z-rush hours AM westbound, PM eastbound, J-all other times",POINT (-73.84443500029684 40.69516599823373),-73.84443500029684 40.69516599823373),-73.84443500029684 40.69516599823373,40.695166,-73.844435,"[40.69516599823373,-73.8444350002968],"
DeKalb Ave,B-D-N-Q-R,40.69064812,-73.98177094,"[40.690648119969794,-73.9817709444094],","B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times",POINT (-73.98177094440949 40.690648119969794),-73.98177094440949 40.690648119969794),-73.98177094440949 40.690648119969794,40.69064812,-73.98177094,"[40.690648119969794,-73.9817709444094],"
Beach 105th St,A,40.58326844,-73.82758075,"[40.58326843810286,-73.8275807503452],","A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",POINT (-73.82758075034528 40.58326843810286),-73.82758075034528 40.58326843810286),-73.82758075034528 40.58326843810286,40.58326844,-73.82758075,"[40.58326843810286,-73.8275807503452],"
